gruiformes: Animal
antrozous: Animal
eleutherodactylus: Animal
moonwort: Nature
tiliaceae: Nature
mnium: Nature
testacean: Animal
processing: Tech
myxinidae: Animal
reptantia: Animal
candlepower: Light
gryphon : Animal
polychaete : Animal
cloning : Tech
gametogenesis : Nature
dustiness : Earth
lacewing : Animal
limonium : Nature
turpentine : Nature
sapphire : Earth
mammutidae : Animal
fairyland : Magic
harvest : Nature
pandemic : Toxic
propeller : Tech
rhizopus : Nature
mud : Earth
sihasapa : Nature
nephritis : Toxic
chaenomeles : Nature
sluicegate : Water
astrakhan : Animal
wolverine : Animal
spoil : Toxic
hornbeam : Nature
spearfish : Piercing
insecticide : Toxic
megaderma : Animal
myiasis : Animal
youth : Life
microhylidae : Animal
nitrazepam : Toxic
volt-ampere : Tech
demolition : Fire
tamiasciurus : Animal
havoc : Evil
hydrophobicity : Water
brookweed : Nature
cockroach : Animal
cybernaut : Tech
supremacist : Evil
headlight : Light
adiantum : Nature
delinquent : Evil
chiropractic : Healing
nurse : Healing
rosaceae : Nature
sun : Light
rabies : Evil
firestorm : Fire
bloodlust : Evil
smack : Blunt
sheepwalk : Animal
myeloma : Healing
coelacanth: Water
microphone : Tech
combustion : Fire
homaridae : Animal
amphiumidae : Water
altostratus : Air
arctocephalus : Animal
deadlight : Dark
renewal :Life
blazer : Fire
cyclotron : Tech
mica : Earth
terrorist : Evil
wicca : Magic
milk : Animal
crusader : Good
lugworm : Water
wind : Air
amphiuma : Water
otariidae : Animal
grackle : Animal
deinocheirus : Animal
diggings : Earth
wrongness : Evil
allegiance : Good
bennettitaceae : Plant/Nature 
cervus : Animal
allies : Good
refrigeration : Tech
chemical : Toxic
saprolite : Earth
abduction : Evil
smilax : Nature
holly : Nature
prototheria : Animal
sciaenops : Animal
soapweed : Nature
whistling : Air
yin : Dark
ohm : Electric
grain : Earth
doe : Animal
percussion : Blunt
humanitarian : Good
exocet : Electric
chlorophyta : Nature
incurable : Healing
hypericaceae : Nature
novobiocin : Toxic
vesicant : Toxic
antipathy : Evil
infernal : Dark
floating-moss : Nature
spatterdock : Water
calliophis : Animal
tetroxide : Toxic
dermestidae : Animal
jacklight : Light
transferability : Tech
frangipani : Nature
chew : Blunt
airfoil : Air
weevil : Animal
phytelephas : Animal
foxglove : Nature 
polyprion : Animal
loki : Evil
alewife : Animal
sarraceniaceae : Nature
glow : Light
tilefish : Water
milkcap : Nature
blow : Air
scaridae : Water
sciaenidae : Water
requiem : Death
channidae : Water
injection : Tech
moonlight : Light
mechanics : Tech
tetraodontidae : Animal
callithricidae : Animal
gat : Blunt
himantopus : Animal
superstructure : Tech
serengeti : Nature
ceratodus : Animal
detention : Evil
devil : Evil
ningishzida : Magic
implosion : Fire
nusku : Light
krakatau : Fire
tubercularia : Toxic
breeziness : Air
carnivore : Animal
bryozoa: Nature
conciliation : Healing
dairying : Animal
megachile : Nature
refractometer : Tech
crocus : Nature
cockerel : Animal
greenockite : Earth
fulmination : Fire
rhinopathy : Toxic
babirusa : Animal
spectrophotometer : Tech
precipitation : Water
parvovirus : Toxic
mycrosporidia : Toxic
huckster : Evil
motorization : Tech
aesculus : Nature
myrrhis : Nature
heterocephalus : Animal
mobulidae : Animal
cowhide : Earth
rhododendron : Nature
katydid : Animal
myoglobinuria : Toxic
harmonics : Magic
botaurus : Animal
savannah : Nature
eelpout : Water
brandy : Toxic
redshank : Animal
bromelia : Nature
tick : Animal
strepsirhini : Animal
larkspur : Nature
sturnidae : Animal
yataghan : Cutting
trample : Blunt
storksbill : Nature
pearlite : Earth
grounding : Earth
equidae : Animal
dammar : Nature
marlinespike : Piercing
crackle : Electric
metritis : Toxic
sepsis : Toxic
bullet : Piercing
undershrub: Nature
mamba: Animal
hominidae: Animal
podocarp: Nature
awlwort: Nature
cattle: Animal
houttuynia: Nature
tyto: Animal
raindrop: Water
clock: Tech
mangabey: Animal
rioting : Evil
bellows : Air 
candlemas : Light 
kittiwake : Animal 
fagaceae : Nature 
nasturtium : Nature 
curse : Evil 
usurper : Evil
greenfly : Animal
radar : Tech
disrepair : Toxic
widowhood : Life 
flies : Animal 
myna : Animal
malpighiaceae : Nature 
beehive : Animal
crankshaft : Tech
stonecutter : Cutting
coral : Water
jibboom : Blunt
gibbsite : Earth
sturgeon : Animal
charger : Electric
geoduck : Animal
organism : Life
cirrhosis : Toxic
elops : Animal
tuberales: Earth 
vane: Air
rectifier: Tech 
pastorale: Healing 
mercenary: Evil 
justiciary: Good 
ammonification: Toxic
rubus : Nature
cirrocumulus : Air
fiberscope : Tech
valerianaceae : Nature
carrot : Nature
consciousness : Life
electrograph : Electric
sagebrush : Nature
lemonwood : Nature
salmonid : Animal
skylab : Tech
bluestem : Nature
firestone : Fire
prawn : Water
hodoscope : Tech
tillandsia : Nature
pedophile : Evil
cephalanthera : Nature
microwave : Tech
loligo : Animal
obsidian : Earth 
atonement : Healing
tody : Animal
integrator : Tech
river : Water
hirundinidae : Animal
bonemeal : Life
punch-up : Blunt
neoplasia : Toxic
plecotus : Animal
neurologist : Healing
chickpea : Animal
moosewood : Nature
saale : Water
armature : Tech
nursing : Healing
endurance : Life
tapiridae : Animal
vertebrata : Animal
torture : Evil
bronchopneumonia : Toxic
paralysis : Healing
demantoid : Earth
tetrafluoroethylene : Tech
polluter : Evil
vitrification : Tech
cowslip : Nature
brickbat : Blunt
msasa : Nature
ceibo : Nature
betatron : Tech
chlorambucil : Toxic
enchantment : Magic
cyborg : Tech
roots : Nature
mantispidae : Animal
tamarisk : Nature
chuck-will's-widow : Animal
newel : Piercing
decapterus : Water
cloaca : Nature
brachyura : Animal
pigeon : Animal
obituary : Death
limanda : Animal
dermaptera : Animal
ravaging : Evil
tadarida : Animal
twinflower : Nature
jonquil : Nature
sustainability: Nature
ginseng: Nature
chickenpox: Toxic
boiler: Tech
pelecaniformes: Animal
lilium: Nature
whisker : Animal
syzygium : Nature
riverside : Water
culverin : Blunt
worm : Animal
varanus : Animal
verdin : Animal
lepiota : Nature
ms-dos : Tech
wildfowl : Animal
mite : Nature
canna : Nature
plumeria : Nature
rig : Tech
steam : Water
donor : Good
capybara : Animal
kingbird : Animal
procyonidae : Animal
custom-made : Tech
herpes : Toxic
farmer: Animal
sharpie: Piercing
eumops: Animal
rainmaking: Nature
simuliidae: Animal
millivolt: Electric
exhaust: Tech
pinaceae: Nature
anathema: Evil
waterfall : Water
stacker : Tech
ravage : Evil
drilling : Cutting
audiometer : Tech
auger : Cutting
nazification : Evil
echo : Nature
omnivore : Animal
blowing : Air
regeneration : Healing
morse : Tech
chirrup : Animal
botulinus : Toxic
debugger : Tech
coonhound : Animal
translator : Tech
cactus : Nature
cyanogen : Toxic
cyprinidae : Animal
genet : Animal
yottabyte : Tech
botfly : Animal
distiller : Water
mustelidae : Animal
bioterrorism : Evil
soul : Life
clipper : Cutting
australopithecine : Animal
polyester : Tech
pelecanoididae : Animal
ranidae : Animal
scalpel : Cutting
ondatra : Animal
agelessness : Life
binary : Tech
skunkweed : Nature
carrion : Death
cutting : Cutting 
chickeree : Animal
ceratopsian : Animal
toucan : Animal
yew : Nature
mephitinae : Animal
grenade : Fire
sheepshank : Blunt
being : Life
turkey : Animal
hygrodeik : Water
ogre : Evil
oleandra : Nature
francium : Tech
perinatology : Healing
shortia : Nature
flail : Blunt
leucadendron : Nature
epitaph : Death
electroplate : Tech
horsewhip : Blunt
morbidity : Death
fagot : Blunt
steamboat : Fire
semiconductor : Tech
aircraftsman : Air
searchlight : Light
granite : Earth
polecat : Animal
salmonella : Toxic
oxeye : Nature 
smokestack : Toxic
serialization : Tech
aeration : Air
dart : Piercing
loosestrife : Nature
ironwood : Fire
mantra : Magic
nepheline : Earth
jade : Earth
pneumatophore : Air
dumbwaiter : Tech
witchgrass : Nature
flavivirus : Toxic
teratogen : Toxic
outdoors : Earth
cistern : Water
epacris : Nature
mechanization : Tech
whip : Blunt
accipiter : Animal
monotremata : Animal
rattlesnake : Toxic
justice : Good
ecchymosis : Healing
totemist : Animal
hypsiprymnodon : Animal
innocency : Good
bewitchery : Magic
biometrics : Tech
chlamydera : Water
diatom : Water
procellariidae : Animal
borage : Nature
afterimage : Light
knight-errant : Good
nepenthes : Nature
antiseptic : Nature
fork : Piercing
gaseousness : Air
backwater : Water
intoxication : Toxic
araliaceae : Nature
osteology : Death
plankton : Animal
boysenberry : Nature
hardball : Blunt
decency : Good
percolator : Tech
disaster : Toxic
tenderness : Healing
tinderbox : Fire
ground : Earth
rush : Nature
endotoxin : Toxic
torrent : Water
blowfly : Animal
mulloway : Water
mercy : Good
cockfight : Animal
edelweiss : Nature
capercaillie : Animal
sickness : Healing
synovitis : Healing
chlorophyceae : Nature
trimming: Cutting 
monocanthidae: Animal 
pipistrelle: Animal 
conjuring: Magic
equisetum : Nature
respecter : Good
snowboarder : Air
pluviose : Water
tanning : Fire
nighthawk : Animal
hygienist : Healing
cetorhinidae : Animal
aquatic : Water
placer : Earth
condenser : Tech
quack-quack : Animal
jigsaw : Cutting
pythoness : Magic
molotov : Fire
basalt : Earth
maple-leaf : Nature
linuron : Toxic
cut-in : Cutting
ion : Electric
sawfish : Water
snowbank : Water
lemming : Animal
frying : Fire
footlights : Light
mesophyte : Nature
viverra : Animal
greyhen : Animal
reactance : Electric
rhinosporidiosis : Toxic
naphtha : Fire
farmhouse : Nature
malpighia : Nature
calcite : Earth
linkage : Electric
bothrops : Animal
eel : Animal
elector : Electric
hydroxide : Toxic
sporangiophore : Nature
downspin : Air
washcloth : Water
pseudotsuga : Nature
dripping : Water
gridlock : Tech
eviction : Evil
macrocephalon : Animal
pantheon : Good
silkscreen : Tech
cantharellus : Animal
carcharodon : Water
identifier : Tech
rasp : Air
tonsillitis : Healing
lactifuge : Nature
drenching : Water
fence : Piercing
epiphany : Light
sordidness : Evil
crustacean : Animal
televangelist : Light
hyalosperma : Nature
upholder : Good
crataegus : Nature
internet : Tech
shelduck : Animal
deathrate : Death
conspecific : Animal
carbine : Cutting
lily : Nature
wyvern : Animal
tilth : Nature
chewink : Animal
headwater : Water
sphagnales : Nature
fastball : Blunt
ichthyolatry : Animal
antimalarial : Toxic
kindliness : Good
pelter : Piercing
didelphidae : Animal
divi-divi : Air
liverwort : Nature
groundnut : Nature
rake : Cutting
bioremediation : Nature
canoe : Water
flashiness : Light
water : Water
nautilus : Water
crop-dusting : Air
cooker : Tech
midstream : Water
hydrography : Nature
leatherwork : Animal
tornado : Air
tanager : Animal
sphecidae : Animal
harasser : Evil
predator : Animal 
osteopath : Healing 
waterproofing : Water 
trichechidae : Animal 
hydrochoerus : Water
flogger : Blunt
thermotropism : Fire
fugu : Water
cypriniformes : Animal
blowfish : Animal
peanut : Nature
fluorine : Toxic
scimitar : Cutting
hydroflumethiazide : Toxic 
silene : Nature
cutoff : Cutting
pinguinus : Animal
gangsaw : Cutting
pedometer : Tech
stake : Piercing
cuckoo : Animal
anseres : Animal
protoceratops : Animal
cloudiness : Air
coralwood : Nature 
medea : Magic 
moderationist : Good
pomologist : Animal
tenesmus : Toxic
tenderization : Healing
apodidae : Animal
lepidolite : Earth
evaporite : Water
timber : Earth
volt : Electric
rotavirus : Toxic
micropterus : Animal
ebony : Earth
councilman : Good
moorhen : Animal
everglades : Nature
serviceman : Good
cutter : Cutting
airworthiness : Air
candlepin : Blunt
nugget : Earth
fireplug : Fire
reset : Tech
anthracite : Earth
criminalism : Evil
aborigine : Nature
pyocyanin : Toxic
tarsius : Animal
nyctaginaceae : Nature
polypodiaceae : Nature
midair : Air
abuser : Evil
fertilization : Nature
beak : Animal
immunofluorescence : Light
libation : Water
chiton : Animal
hi-fi : Tech
mayfly : Nature
camponotus : Animal
laudanum : Toxic
abuse : Evil
transcriptase : Tech
billow : Air
scyphozoan : Water
surge : Electric
mudder : Earth
goodenia : Nature
sawtooth : Cutting
redfish : Animal
magnetite : Earth
vulcan : Fire
chytridiales : Animal
excoriation : Cutting
c-clamp : Tech
mangosteen : Nature
lavender : Nature
atmosphere : Air
ouija : Magic
cryogenics: Water
serenoa: Nature
pyrite: Earth
multiprogramming: Tech
thermograph: Fire
smelter: Fire
stellaria: Nature
wildcat: Animal
pomegranate: Nature
ichyostega: Animal
cranium: Death
elapid: Animal
amputation : Cutting
cougar : Animal
packhorse : Animal
bash : Blunt
jackrabbit : Animal
overgrowth : Nature
saintliness : Good
rosewood : Nature
prophyll : Nature
ichthyosaurus : Animal
fishing : Water
wellhead : Nature
radiometer : Tech
greenishness : Nature
bivalvia : Animal
animality : Animal
backlighting : Light
sunfish : Animal
cadaver : Death
cuterebridae : Animal
mere : Water
alp : Air
sower : Nature
bust : Blunt
chimpanzee : Animal
positivity : Good
terminal : Tech
bolt : Electric
nemea : Nature
prophecy : Light
ardeidae: Animal
piranha : Water
autoinjector : Tech
kama : Cutting
contractility : Life
taraxacum : Nature
savitar : Evil
kekchi : Nature
fucus : Water
seance : Magic
woodwaxen : Nature
ophioglossum : Nature
nox : Dark
exorcism : Magic
burns : Fire
latimeria: Animal 
lamnidae: Water 
streptokinase: Healing 
chalcedony: Earth 
absolution: Healing 
pomacanthus: Animal 
calibration: Tech 
watermelon : Water
slice : Cutting
groundmass : Earth
vitalization : Life
passero : Animal
roarer : Animal
deadliness : Death
wrongdoing : Evil
watercraft : Water
scorpaenoidea : Animal
tufa : Earth
bufonidae : Animal
plank : Blunt
pyrites : Fire
neigh : Animal
milkweed : Nature
brotulidae : Animal
cuculiformes : Animal
psocid : Animal
metabolite : Nature
echolocation : Animal
lygodium : Nature
backhoe : Tech
hylobatidae : Animal
crangon : Animal
immune : Healing
fluxmeter : Tech
spermatophyte : Nature
glycyrrhiza : Nature
racket : Blunt
stoplight : Light
hatpin : Piercing
telepathy : Magic 
lagomorpha : Animal
wrath : Evil
gleam : Light
prosthetics : Tech
peafowl: Animal
viper: Animal
pumice: Earth
laminaria: Nature
aves: Animal
hippopotamus: Animal
mudslide: Water
gobiesox: Animal
polanisia : Nature
weaver : Nature
luger : Piercing
magnetron : Electric
freestone : Earth
malaria : Toxic
polarity : Electric
cabal : Evil
foundry : Tech
charge : Electric
weimaraner : Animal
moraine : Earth
analgesia : Healing
branchiopoda : Animal
penetration : Cutting
dark : Dark
batholith : Earth
plantae : Nature
slapshot : Blunt
scorpionweed : Nature
argil : Earth
bullbrier : Nature
miniconju : Animal
pipefish : Water
lighterman : Fire
wintergreen : Nature
frogfish : Water
bombie : Fire
peaceableness : Good
untruthfulness : Evil
viscum : Nature
brushwood : Earth
speedboat : Water
emetic : Toxic
pezizaceae : Nature
watercolorist : Water
effervescence : Water
phenol : Toxic
lilac : Nature
gallfly : Animal
thundershower : Water
nitrosomonas : Toxic
nutmeg : Nature
cytoskeleton : Death
lagomorph : Animal
ammunition : Tech
rupicapra : Animal
admirability : Good
fumaria : Nature
ponderosa : Nature
hygrometer : Tech
paramyxovirus : Toxic
wildfire : Fire
moa : Animal
gomphothere : Animal
cancridae : Animal
mousetrap : Tech
bentonite : Earth
zooplankton : Animal
naiadales: Nature
notoryctidae: Animal
philter: Magic 
tarmacadam: Tech
kingfish: Animal
watercolor: Water
lysichiton: Nature
pachysandra: Nature
alarm : Tech
mastiff : Animal
pedodontist : Healing
shave : Blunt 
pinesap : Nature 
baiomys : Animal
snakebite : Toxic
disloyalty : Evil
porphyry : Earth
whippoorwill : Nature
bunsen : Tech
snowball : Water
forge : Fire
globeflower : Nature
intolerance : Evil
evergreen : Nature
jacamar : Animal
gadgeteer : Tech
claystone : Earth
elasmobranch : Animal
halberdier : Cutting
airlift: Air
sparrow: Animal
tetragram : Magic
ageratum : Nature
rest-cure : Healing
war : Evil
antidiarrheal : Toxic
firebug : Fire
spore : Nature
anhingidae : Animal
costmary : Nature
monkshood : Toxic
genocide : Evil
cryptanalysis : Tech
periosteum : Nature
nepotism : Evil
erinaceus : Animal
bioclimatology : Nature
monopolization : Tech
carob : Nature
broadside : Piercing
scombridae : Animal
beta-naphthol: Toxic
baptisia : Nature
indigofera : Nature
strigiformes : Animal
papain : Healing
aggression : Evil
allergist : Healing
meliphagidae : Animal
hypnotherapy : Healing
udder : Animal 
methyl : Toxic 
musth : Animal 
breadfruit : Nature 
deactivation : Tech 
automat : Tech 
christmasberry : Nature 
crete : Earth 
elixir : Healing 
acacia : Nature 
flow : Water
inkberry : Nature
juglandales : Nature
brome : Nature
stopwatch : Tech
simazine : Toxic
translucence : Light
flytrap : Nature
eupatorium : Nature
pseudemys : Animal 
pleximeter : Tech
antibiotic : Healing
methotrexate : Toxic
terazosin : Toxic
clomiphene : Toxic
lowlands : Earth
cloudlessness : Air
fluvastatin : Toxic
silurus : Water
astacidae : Animal
sprinkle : Water
jaggedness : Cutting
pyrotechnics : Fire
manna: Healing
convalescence: Healing
tamandua: Animal
plume: Air
mirage : Water
rifle : Cutting
vulture : Animal
laricariidae : Animal
webworm : Animal
limekiln : Fire
dispensary : Healing
wise : Good
underworld : Evil
tytonidae : Animal
actinolite : Earth
wolfsbane : Toxic
superoxide : Toxic
shoot-down : Cutting
bullfighting : Blunt
empetrum : Nature
selene : Life
leopardess : Animal
araguaia : Water
pyrograph : Fire
fungus : Nature
swimming : Water
darky : Dark
caiman : Animal
thuggee : Evil
elm : Nature
critter : Animal
grater : Cutting
citellus : Animal
belostomatidae : Animal
lymphocyte : Life
antler : Animal
boxfish : Water
procyonid : Animal
amaterasu : Light
corixidae : Animal
coalbin : Earth
rollerblade : Tech
papaw : Nature
ectoparasite : Animal
electrolytic : Electric
golem : Magic
markhor : Animal
electrometer : Tech
lepismatidae : Animal
sprocket : Tech
waterskin : Water
pterosaur : Animal
earthwork : Earth
dildo : Blunt
squall : Air
shelter : Life
lizardfish : Water
heliamphora : Nature
uzi : Tech
hesperides : Nature
felucca : Water
stillroom : Magic
hydrastis : Nature
sandfish : Water
schizophragma : Nature
doom : Dark
sphenopsida : Nature
prediction : Magic
terahertz : Electric
metalanguage : Tech
sizzle : Fire
sittidae : Animal
mullein : Nature
immunosuppressant : Healing
fields : Nature
anthill : Animal
telemetry : Tech
gneiss : Earth
cryptocoryne : Water
saint : Light
gravelweed : Earth
dipterocarpaceae : Nature
corydalis : Nature
mixer : Tech
imipramine : Healing
webfoot : Water
samurai : Cutting
paramedic : Healing
sea : Water
spiritualization : Light
palestra : Nature
billfish : Animal
comfrey : Healing
pseudotaxus : Nature
salix : Nature
magneton : Electric 
tape : Tech
herbivore : Animal
cone : Nature
hydration : Water
smoothhound : Animal 
periclase : Earth
beetle : Animal
rutile : Earth
pteridophyta : Nature
endoskeleton : Death
radiator : Tech
amphibolite : Earth
doctor : Healing
geraniaceae : Nature
bulbul : Animal
goosefish : Animal
ox: Animal
argillite : Earth
microchiroptera : Animal
meteorite : Fire
cytotoxicity : Toxic
limulus : Water
supercomputer : Tech
cayenne : Fire
trogon : Animal
conserve : Nature
tenrec : Animal
solleret: Cutting
sunlight: Light
racehorse: Animal
anthrax : Toxic
changeling : Magic
auricularia : Nature
shadow : Dark
thylacinus : Animal 
doliolidae : Animal
teasel : Nature
crustacea : Water 
eyelessness : Dark 
sapodilla : Nature
cholecystectomy : Healing
gamekeeper : Animal
electroencephalogram : Tech
oxytropis : Nature
adiantaceae : Nature
geriatrics : Healing
mods : Tech
lymphoblast : Toxic
crop : Nature
rosefish : Animal
aphis : Animal 
dryopteris : Nature 
twinjet : Tech
rachycentridae : Animal 
tanner : Animal 
vixen : Animal 
poa : Nature 
melancholic: Dark
garbage: Toxic
kite: Air
shingle: Nature
tropaeolaceae: Nature
finch: Animal
mayaca: Nature
doorlock : Tech
fife : Blunt
dipterocarp : Nature
orthopter : Animal
exterminator : Evil
chemosurgery : Toxic
fruitwood : Nature
chrysemys : Animal
humectant : Healing
self-torture : Evil
rocket : Electric
faraday : Electric
antilocapridae : Animal
wrasse : Animal
saury : Animal
oleander : Nature
izanagi : Magic
melatonin : Life
pyrographer : Fire
farmstead : Nature
carat : Earth
exosphere : Air
believing : Good
terrorization : Evil
vehicle : Tech
pycnogonida : Animal
hellion : Evil
apishamore : Animal
trichuriasis : Toxic
heather : Nature
pyrex : Tech
accipitriformes : Animal
radioisotope : Tech
taillight : Light
occultist : Magic
tepal : Nature
demonization : Evil
raven : Animal
mare : Animal
handset : Tech
dacrycarpus : Nature
reflectometer : Tech
antichrist : Evil
floodplain : Water
bryophyta : Nature
scyphozoa : Water
platycerium: Nature
faucet: Water
electrification: Electric
sickbay : Healing
sod : Earth
hypnotist : Magic
hippodamia : Animal
transgression : Evil
megachiroptera : Animal
nature : Nature
pasteurization: Healing
gurnard : Animal
barramundi : Animal
breadboard : Tech
myocastor : Animal
kieserite : Earth
earthquake : Earth
petunia : Nature
buckthorn : Nature
creature : Animal
chenopodium : Nature
cinnabar : Fire
corylus : Earth
mafia : Evil
centropus : Animal
peramelidae : Animal
fluorapatite : Earth
antennariidae : Animal
notebook : Tech
tarwood : Earth
aristolochiaceae : Nature
pondweed: Water 
flume: Water 
promycelium: Nature 
polyporus: Nature 
omniscience: Magic 
bathing: Water 
teredo: Water 
techie: Tech 
trespass: Evil 
oleales: Nature 
magnet: Electric 
myrtales: Nature
troposphere : Air
machine : Tech
tachymeter : Tech
sahara : Earth
asteroid : Earth
culex : Animal
microorganism: Nature
aardwolf: Animal
carcharhinus: Animal
airfare: Air
bittercress: Nature
phoronida: Animal
fortune: Good
trombiculid: Animal
altitude: Air
dibranchiate: Animal
dune: Earth
ferret : Animal
fitness : Healing
pediatrics : Healing
sputter : Electric
sporotrichosis : Toxic
rockies : Earth
myrmecophagidae : Animal
stag : Animal
galena : Earth
toucanet : Animal
berry : Nature
numbat : Animal
enflurane : Toxic
remission : Healing
podilymbus : Animal
furan : Toxic
klansman : Evil
toothache : Healing
i-beam : Tech
bovine : Animal
triopidae : Animal
canidae : Animal
gaultheria : Nature
trillium : Nature
himalayas : Air
cacique : Animal
hedgehog : Animal
swindler : Evil
skink : Animal
sickbed : Life
connectivity: Tech
dairy: Animal
radicchio: Nature
exoskeleton: Death
orchidales : Nature
witching : Magic
dombeya : Nature
cardamine : Nature
tuna : Water
symphoricarpos : Nature
longevity : Life
airbrush : Tech
demulcent : Healing
shorebird : Animal
balsa : Earth
fingernail : Piercing 
megalosauridae : Animal 
pederast: Evil
safeness: Healing
saxifraga: Nature
peonage: Evil
elitist: Evil
hydrocharitaceae: Water
techno: Tech
wingstem: Air
woodwork: Earth
clamshell: Water
energizing : Life
corselet : Animal
woodwind : Air
technophilia : Tech
bombardier : Fire
balaenidae : Animal
beanstalk : Nature
kerosene : Fire
eriodictyon : Nature
tradescantia : Nature
carving : Cutting
fruitage : Nature 
illicitness : Evil 
microprocessor : Tech 
rowanberry : Nature 
chickweed : Nature
bathe : Water 
beneficence : Good
plowing : Earth
strawworm : Animal 
tumblebug : Nature
shadiness : Dark
buckeye : Animal
afterbirth : Life 
setter : Animal
acarine : Toxic
selaginella : Nature
mailsorter : Tech
poultry : Animal
ironwork : Earth
standardizer : Tech
orobanchaceae : Nature
tortoise : Animal
tinker : Tech
water-rate : Water
guinea : Animal
stardust : Light
utilizer : Tech
lutra : Animal
sunray : Light 
kindheartedness : Good 
hawkweed : Nature 
substation : Tech
xerophyllum : Nature
albizzia : Nature
coydog : Animal
triton : Water
tadpole : Animal
killifish : Animal
program : Tech
yardstick : Blunt
outgrowth : Nature
cannon : Blunt
dragonet : Fire
double-crosser : Evil
villainess : Evil
reassembly : Tech
fairness : Good
beastliness : Animal
occultism : Magic
elasmobranchii : Animal
acidity : Toxic
doxepin : Tech
saponin : Nature
codling : Animal
pinger : Electric
sage : Nature
arilus : Animal
conspirator : Evil
evil : Evil
micronutrient : Nature 
incision : Cutting
morgue : Death
archipelago : Water
watchmaker : Tech
animism : Nature
soliton : Electric
locust : Animal
vampire : Dark
cetonia : Animal
horticulturist : Nature
hospitableness : Good
sierra : Nature
scratch : Piercing
rhinovirus : Toxic
transpiration : Water
fulica : Animal
illusion : Magic
sisyrinchium : Nature
xenopus : Animal
myomorpha : Animal 
sibling : Life
silverberry : Nature 
tetracaine : Toxic
sheepman : Animal 
aerosol : Air
dairyman : Animal 
hatemonger : Evil
diligence : Good
cocoon : Nature
naphthalene : Toxic
wiccan : Magic
skua : Animal
samara : Nature
stalker : Evil
copepoda : Water
miasma : Toxic
salish : Nature
briar : Nature
gunlock : Tech
axolotl : Animal
diastrophism : Earth
falconry : Animal
calostomataceae : Nature
magnetization : Electric
giraffidae : Animal
budgerigar : Animal
hamamelidanthum : Nature
sparganium : Nature
antidote : Healing
afterglow : Light
necrology : Death
photoemission : Light
nurturance : Nature
felicity : Good
camera : Tech
ovis : Animal
dugout : Earth
plotter : Tech
psittacosaur : Animal
telecommuting : Tech
ginkgo : Nature
tussilago : Nature
gunpowder : Fire
neutrophil : Life
aspidistra : Nature
forestry : Nature
araneae : Animal
vaccinee : Healing
butterwort : Nature
photometer: Tech
cat's-ear: Animal
pearl: Water 
cicadellidae: Animal
crocodylus : Animal
wild : Nature
scallop : Water
hyracotherium : Animal
burial : Death
rhizoctinia : Toxic
coypu : Animal
callitris : Nature
fogbank : Water
veratrum : Toxic
bombshell : Fire
silt : Earth
aesculapius : Healing
pestilence : Evil
neosporin : Healing
bestiality : Animal
canavanine : Toxic
circe : Magic
mandrake : Nature 
zombie : Death 
shaitan : Evil 
pneumatics : Tech 
cowpea : Animal 
squill : Animal 
icecap : Water
lechanorales : Nature 
strigidae : Animal
